project,seed,profile,dose,latency,model,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
commons-compress,7,fn_heavy,0.15,uniform,NA(fp_filter),141,43,-0.0279742900411573,0.3913104735554187,-0.010779429459917826,0.46703073499690834
commons-compress,7,fn_heavy,0.15,none,OOB,141,43,0.025808869115972927,0.4875778482709665,0.025554852734352318,0.5359629265558756
commons-compress,7,fn_heavy,0.15,none,ORB,141,43,0.0030679062980021325,0.43702117739051805,-0.0913119643502254,0.18728160247564687
commons-compress,7,fn_heavy,0.15,none,NA(damp),141,43,0.012672963584327446,0.47460391070065766,-0.07041595852372305,0.3053697792158914
commons-compress,7,fn_heavy,0.15,none,NA(fp_filter),141,43,0.052030684008807004,0.4381017411796421,-0.056238332502789125,0.27559181714436776
commons-compress,7,fn_heavy,0.2,uniform,OOB,133,0,-0.0530809607941254,0.3496213150783703,0.09362606923871689,0.6282627197470431
commons-compress,7,fn_heavy,0.2,uniform,ORB,133,0,-0.0735185889053461,0.37315635161410304,-0.10835716942025404,0.2080332841339856
commons-compress,7,fn_heavy,0.2,uniform,NA(damp),133,0,-0.02983461737594029,0.4443500246198994,-0.05909179799874143,0.4015307659525642
commons-compress,7,fn_heavy,0.2,uniform,NA(fp_filter),133,0,-0.032906390738287265,0.37906979273158137,0.11670751056944627,0.6720051127775928
commons-compress,7,fn_heavy,0.2,none,OOB,133,0,-0.0653381474121939,0.3983182320261793,0.007356945755591499,0.511270332641762
commons-compress,7,fn_heavy,0.2,none,ORB,133,0,-0.0617122247791132,0.400975057729698,-0.05846133536709175,0.2718461351501764
commons-compress,7,fn_heavy,0.2,none,NA(damp),133,0,-0.07891950108366742,0.3862158999293362,-0.07687674413388403,0.242160842746017
commons-compress,7,fn_heavy,0.2,none,NA(fp_filter),133,0,-0.04731303331808549,0.31998707993562847,-0.07459855805816575,0.09441658241163745
commons-compress,7,fn_heavy,0.25,uniform,OOB,164,0,-0.05196428007668526,0.34060937336609515,0.08175926314220322,0.6081613730432266
commons-compress,7,fn_heavy,0.25,uniform,ORB,164,0,-0.013787551884057465,0.44626869970913563,0.038057709006301045,0.551260560098272
commons-compress,7,fn_heavy,0.25,uniform,NA(damp),164,0,-0.08868176809024698,0.37495355647169254,0.025373130062766223,0.535212691040272
commons-compress,7,fn_heavy,0.25,uniform,NA(fp_filter),164,0,-0.09997590358657603,0.35520929806298573,-0.013280618308997329,0.4641841470913138
commons-compress,7,fn_heavy,0.25,none,OOB,164,0,-0.08037673659846996,0.394143187580631,0.030531210179031737,0.546794544689206
commons-compress,7,fn_heavy,0.25,none,ORB,164,0,-0.07239000266357487,0.3771727496734341,-0.07585356472054056,0.21340528172421655
commons-compress,7,fn_heavy,0.25,none,NA(damp),164,0,-0.06206449163100082,0.3890255676516142,-0.08831016179705835,0.20211691077380056
commons-compress,7,fn_heavy,0.25,none,NA(fp_filter),164,0,-0.009224028656899402,0.3956409221782045,-0.002963779894010382,0.24544843804319047
commons-compress,7,fn_heavy,0.3,uniform,OOB,209,0,-0.034273693836955096,0.3632782645411976,0.07865856296086368,0.6180229927196398
commons-compress,7,fn_heavy,0.3,uniform,ORB,209,0,0.01788778222402386,0.49114304598595543,-0.035307114467428444,0.39594631336696856
commons-compress,7,fn_heavy,0.3,uniform,NA(damp),209,0,-0.019271640820867166,0.45940903988013515,-0.05897659347453878,0.3592229244668144
commons-compress,7,fn_heavy,0.3,uniform,NA(fp_filter),209,0,-0.03799450299392264,0.4015211934199781,0.1301586927719063,0.6312021212282936
commons-compress,7,fn_heavy,0.3,none,OOB,209,0,-0.0485394857224529,0.4193087747340883,-0.041872121917321814,0.4084871357686432
commons-compress,7,fn_heavy,0.3,none,ORB,209,0,-0.02493522731574298,0.4450442772650994,-0.03195184530686289,0.3505139134946648
commons-compress,7,fn_heavy,0.3,none,NA(damp),209,0,-0.052622543201243654,0.41406195373963794,-0.07377278123821969,0.26271113670046253
commons-compress,7,fn_heavy,0.3,none,NA(fp_filter),209,0,0.001624286349985748,0.41876962634807646,0.014905665588971856,0.43575546150885325
commons-compress,13,symmetric,0.05,uniform,OOB,262,171,0.09670078596095825,0.49296416187227365,-0.004797924098324365,0.4713273499429961
commons-compress,13,symmetric,0.05,uniform,ORB,262,171,0.03040083401322475,0.4671239315442033,0.027968881454791684,0.49650443485025936
commons-compress,13,symmetric,0.05,uniform,NA(damp),262,171,0.06842094639439103,0.4766875106771691,-0.04192348272141954,0.3369925309350615
commons-compress,13,symmetric,0.05,uniform,NA(fp_filter),262,171,0.05632893033176066,0.4388257693794798,-0.06131530674073621,0.319715262725209
commons-compress,13,symmetric,0.05,none,OOB,262,171,0.14087417589249418,0.5887609686695251,0.0013292635131590953,0.501994662739517
commons-compress,13,symmetric,0.05,none,ORB,262,171,0.10407591439469822,0.5609496328761666,0.14558330572063605,0.7124827971091157
commons-compress,13,symmetric,0.05,none,NA(damp),262,171,0.11194340915135437,0.563978711901823,-0.04409298398261837,0.35764024187432425
commons-compress,13,symmetric,0.05,none,NA(fp_filter),262,171,0.17079012279713296,0.5629410581710678,0.0456851372911459,0.5587089201078536
commons-compress,13,symmetric,0.1,uniform,OOB,322,158,0.0643172106878708,0.4729943299248385,-0.01864680950912004,0.471323197110624
commons-compress,13,symmetric,0.1,uniform,ORB,322,158,-0.005601146279870743,0.4237689014120584,0.005437246584125189,0.5078046746454864
commons-compress,13,symmetric,0.1,uniform,NA(damp),322,158,0.057231022625289195,0.4714777460341472,-0.05464547100919283,0.36894631174638015
commons-compress,13,symmetric,0.1,uniform,NA(fp_filter),322,158,0.03379889271898494,0.4311271872655195,-0.05113221570695106,0.3217025950741047
commons-compress,13,symmetric,0.1,none,OOB,322,158,0.11610023472395788,0.5711073381412277,0.004785382515319905,0.5073061555365425
commons-compress,13,symmetric,0.1,none,ORB,322,158,0.10726028478075875,0.5680201826707052,0.04909765453735671,0.5691367437127248
commons-compress,13,symmetric,0.1,none,NA(damp),322,158,0.13494719172608938,0.5818709813596419,0.02341050105836162,0.5320279109965406
commons-compress,13,symmetric,0.1,none,NA(fp_filter),322,158,0.13432783458175648,0.554574943814285,0.0919376344246215,0.5997897607647671
commons-compress,13,symmetric,0.15,uniform,OOB,365,144,0.04261619955806531,0.4551871635515504,-0.11021111435845,0.29529744927350615
