project,seed,condition,n_fp_available,n_fn_available,n_labels_corrected,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,13,fn_repair_frac_1.00,451,48,48,0.1391414719286157,0.5688261195308699,0.005435231524669976,0.5063537965918986
ant-ivy,13,fn_repair_immediate,451,48,48,0.19015314066650998,0.5630670188493789,0.05249418936797249,0.5629275853974283
ant-ivy,13,fn_repair_at_window,451,48,48,0.21792930301427538,0.614734261693152,0.15846590152696816,0.6881489804111378
ant-ivy,21,BSZZ,451,48,0,0.12978377885440562,0.5646988059055583,-0.0045388178085104414,0.49423180928677385
ant-ivy,21,BSZZ_immediate,451,48,0,0.16626877981428853,0.5558079535465448,0.07152747829464155,0.5843414974846067
ant-ivy,21,BSZZ_at_window,451,48,0,0.2558960179436294,0.638746395603731,0.11300831843786709,0.6278174844356723
ant-ivy,21,fp_repair_matched,451,48,48,0.15102674585399056,0.5729213357861721,-0.1067753788323001,0.3609170962377369
ant-ivy,21,fp_repair_frac_0.25,451,48,113,0.16957957471533427,0.5869303062112958,0.03715616051730982,0.5458407432116122
ant-ivy,21,fn_repair_frac_0.25,451,48,12,0.14868648140462357,0.5769850747954096,0.00521397543459881,0.506427993078583
ant-ivy,21,fp_repair_frac_0.50,451,48,226,0.20035821443109803,0.6135895384229444,-0.055212205871605684,0.42598956363595375
ant-ivy,21,fn_repair_frac_0.50,451,48,24,0.15061307315573538,0.5792697126937034,0.010845683496476705,0.5134098156373947
ant-ivy,21,fp_repair_frac_0.75,451,48,338,0.1982020792300395,0.6076660663228439,-0.08057311813138365,0.36884625142817823
ant-ivy,21,fn_repair_frac_0.75,451,48,36,0.15097714325694372,0.5788966299963021,-0.053834437970905764,0.4294319975662381
ant-ivy,21,fp_repair_frac_1.00,451,48,451,0.1944277262943179,0.6048948590061911,0.03746479366523359,0.523583374955365
ant-ivy,21,fn_repair_frac_1.00,451,48,48,0.16354706267602637,0.5861656254822891,-0.004189966563242578,0.4947694546178455
ant-ivy,21,fn_repair_immediate,451,48,48,0.17196783818658395,0.5550345480985361,0.07263866340518692,0.5867934230627502
ant-ivy,21,fn_repair_at_window,451,48,48,0.24567916135755577,0.6366166673870589,0.17897676464619242,0.7122144127267326
ant-ivy,42,BSZZ,451,48,0,0.1507683063186034,0.5767410763621454,-0.0047865700252412635,0.4938476003961262
ant-ivy,42,BSZZ_immediate,451,48,0,0.19274909918933664,0.5716151712115405,0.09887955582893156,0.6167119783090441
ant-ivy,42,BSZZ_at_window,451,48,0,0.22217570850966875,0.6180288880223617,0.17662110751883084,0.7071720686314826
ant-ivy,42,fp_repair_matched,451,48,48,0.13608863027302026,0.571621761355549,-0.006650977513311776,0.4908184086498307
ant-ivy,42,fp_repair_frac_0.25,451,48,113,0.13196291960078216,0.5714471052584794,-0.064288749580674,0.41685384555397687
ant-ivy,42,fn_repair_frac_0.25,451,48,12,0.1458519802626022,0.5715219203485592,-0.014410467766378991,0.48203853902652727
ant-ivy,42,fp_repair_frac_0.50,451,48,226,0.1475756795710013,0.5780604639700032,-0.07140540732787054,0.4033405172763144
ant-ivy,42,fn_repair_frac_0.50,451,48,24,0.13654191984469252,0.5661247677817094,0.0070598153760984906,0.5080865569135731
ant-ivy,42,fp_repair_frac_0.75,451,48,338,0.15187745449259138,0.5770732463720811,-0.07893471760915538,0.38008153162886577
ant-ivy,42,fn_repair_frac_0.75,451,48,36,0.13645339940720605,0.566116124999105,-0.01884770368330966,0.4748112613471413
ant-ivy,42,fp_repair_frac_1.00,451,48,451,0.18571911655132126,0.5995402981130786,-0.026161592886452062,0.4258452772642785
