project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,101,fn_heavy,0.1,none,332,227,190,0.12755719412242206,0.5504236223260474,-0.009965204287732116,0.46396702834685377
ant-ivy,101,fn_heavy,0.15,none,332,203,134,0.09384375152920636,0.5179232048132325,-0.11719834923298812,0.25019440382358255
ant-ivy,101,fn_heavy,0.2,none,332,173,75,0.022326233238991026,0.47444711294519465,-0.1068751271768202,0.30011800352164036
ant-ivy,101,fn_heavy,0.25,none,332,151,14,-0.05438394719571992,0.4051283885842458,-0.09239665309339586,0.3359982642406112
ant-ivy,101,fn_heavy,0.3,none,332,166,0,-0.07053946734141278,0.39345898502693427,-0.06361664493110238,0.3997508040325288
ant-ivy,123,symmetric,0.05,none,332,394,321,0.14498887760040757,0.5703904195533674,0.061706147669487316,0.5574884975918937
ant-ivy,123,symmetric,0.1,none,332,446,307,0.13898974004375012,0.5720505686506318,0.017312767194997296,0.49830245416318125
ant-ivy,123,symmetric,0.15,none,332,509,294,0.12730646440355287,0.563736856487973,-0.011332410915162891,0.4627642536749009
ant-ivy,123,symmetric,0.2,none,332,554,272,0.09756835105530376,0.5479169457403024,-0.005117928223229975,0.48023854108136654
ant-ivy,123,symmetric,0.25,none,332,613,250,0.10897625437489648,0.562825869299055,0.001645663126085755,0.494512298284343
ant-ivy,123,symmetric,0.3,none,332,676,232,0.1177464209133686,0.5669440205752787,-0.016191152895112672,0.4719753980512823
ant-ivy,123,fp_heavy,0.05,none,332,384,317,0.12401704984764737,0.5478033072569234,-0.027575013067914433,0.4232338601407285
ant-ivy,123,fp_heavy,0.1,none,332,433,301,0.14226858801323916,0.5683529198143629,-0.011202178115780436,0.4481761736700855
ant-ivy,123,fp_heavy,0.15,none,332,475,274,0.12398502199568816,0.5562003276812434,-0.02654937351806937,0.44270211362851275
ant-ivy,123,fp_heavy,0.2,none,332,518,250,0.12269885068453694,0.5647047301329869,-0.005101488600289093,0.4784755832047601
ant-ivy,123,fp_heavy,0.25,none,332,552,223,0.10184359298188558,0.5532757011596995,-0.014427152255528796,0.4702481501360305
ant-ivy,123,fp_heavy,0.3,none,332,620,206,0.0983194642069937,0.5560480098155146,0.012205867992129261,0.5093409454368522
ant-ivy,123,mid,0.05,none,332,357,303,0.14249246578047337,0.5623998567720232,0.01264197762584742,0.45540030012262367
ant-ivy,123,mid,0.1,none,332,358,263,0.11989044312720532,0.5516413333618946,0.07159352315160587,0.5788130159980643
ant-ivy,123,mid,0.15,none,332,365,220,0.09277241057895906,0.5267355614489249,-0.01603738719669536,0.4512557766563203
ant-ivy,123,mid,0.2,none,332,387,180,0.08261716813799413,0.529642387566295,-0.011897601487202512,0.4709015493763632
ant-ivy,123,mid,0.25,none,332,393,140,0.055362811013933866,0.5070384293545425,-0.11866439683936848,0.26579741473520374
ant-ivy,123,mid,0.3,none,332,392,90,0.03718761096292938,0.4973601512336946,-0.033238230223001465,0.44273944038157936
ant-ivy,123,fn_heavy,0.05,none,332,301,274,0.1744046205070238,0.5885933640624471,0.028656605417457095,0.49261871317301736
ant-ivy,123,fn_heavy,0.1,none,332,261,207,0.1446923844583588,0.5618281031973928,0.1303447692671363,0.6286970808085811
ant-ivy,123,fn_heavy,0.15,none,332,204,130,0.08333468895698251,0.5123923694738509,0.031689395183850416,0.5246399714713136
ant-ivy,123,fn_heavy,0.2,none,332,157,65,0.08535222232594669,0.5159057084230451,0.04965041823299127,0.547500857813942
ant-ivy,123,fn_heavy,0.25,none,332,135,14,-0.03453413910649707,0.41994029510540853,0.05099854074614455,0.552291163437668
ant-ivy,123,fn_heavy,0.3,none,332,142,0,-0.05708220361780685,0.40024277424351634,0.05048271081298581,0.5579377325031257
ant-ivy,202,symmetric,0.05,none,332,390,321,0.16061202058237323,0.5822745593997934,0.09104542065554551,0.5774338187698419
ant-ivy,202,symmetric,0.1,none,332,439,304,0.14147700048586806,0.5720919515562162,0.06779700835900519,0.5761345371181364
