project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
commons-math,314,fn_heavy,0.15,uniform,335,348,33,0.04889882348799489,0.4932036252287995,0.06858292907555204,0.6042289372592006
commons-math,314,fn_heavy,0.15,real,335,348,33,0.0034551662719296892,0.4743465440169871,0.06028847473059591,0.5909260060154093
commons-math,314,fn_heavy,0.2,uniform,335,412,0,-0.005443622120976202,0.4443673515070318,-0.06745816001832657,0.30349590093532197
commons-math,314,fn_heavy,0.2,real,335,412,0,-0.04528425666836972,0.4143321755605703,-0.03756471642619299,0.43948467071873976
commons-math,314,fn_heavy,0.25,uniform,335,504,0,-0.035330987226362874,0.4055391239045008,0.051640074490487055,0.5576942431676458
commons-math,314,fn_heavy,0.25,real,335,504,0,-0.022281523874691917,0.44808047509888393,-0.0786168883646816,0.29342168780373745
commons-math,314,fn_heavy,0.3,uniform,335,604,0,0.005417084404090672,0.4587858418274975,0.0023780106409780123,0.4991872242664721
commons-math,314,fn_heavy,0.3,real,335,604,0,-0.04597537261138035,0.4122470015835026,-0.034380051886749266,0.4445010361687408
commons-math,999,symmetric,0.05,uniform,335,521,325,0.09937239013325581,0.5407143371973302,-0.013360078103205525,0.4770694109117861
commons-math,999,symmetric,0.05,real,335,521,325,0.06658228398987522,0.5123321677512841,-0.03204317364855409,0.4480852128251226
commons-math,999,symmetric,0.1,uniform,335,669,296,0.052316541315057585,0.50673006320915,-0.06751479029664889,0.3119541999545657
commons-math,999,symmetric,0.1,real,335,669,296,0.04198157030559937,0.5028929153348829,-0.08140651263305405,0.30291654102190485
commons-math,999,symmetric,0.15,uniform,335,835,283,0.06360035008100338,0.5173067076185252,-0.08592094711066463,0.28685322167257354
commons-math,999,symmetric,0.15,real,335,835,283,0.004667382086976361,0.46725226153601,0.02975790709384312,0.5479902293516115
commons-math,999,symmetric,0.2,uniform,335,1029,272,0.08070369986261804,0.533265686659049,-0.10618462919641886,0.2312898881059517
commons-math,999,symmetric,0.2,real,335,1029,272,0.01590506788581805,0.48168602595790333,-0.0102039748483957,0.4826355577774395
commons-math,999,symmetric,0.25,uniform,335,1201,257,0.07160753217669065,0.5401375169086995,-0.014364650725634222,0.4748147863450823
commons-math,999,symmetric,0.25,real,335,1201,257,0.036036849354307635,0.49752988118280495,-0.033597486593771396,0.4455579292983833
commons-math,999,symmetric,0.3,uniform,335,1381,231,0.022027418151646435,0.48915423479682557,-0.16728079509716728,0.13148076873589046
commons-math,999,symmetric,0.3,real,335,1381,231,-0.012638950455822596,0.45404422302379616,-0.011663957651679593,0.47713151701652506
commons-math,999,fp_heavy,0.05,uniform,335,507,313,0.09513594181999577,0.5379713479935839,0.012710746738813996,0.5194719092410651
