project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean,mean_boost_pos_labels,mean_lam_pos_labels,mean_boost_neg_labels,fp_label_rate,fn_label_rate,final_ma_pred
ant-ivy,999,mid,0.05,real,332,347,295,0.14892765423160623,0.5778825403825631,-0.03962342191970382,0.4501691509185153,3.7724806538099,16.2776004769673,5.146069509469329,0.029361942405420668,0.020892151326933936,0.04815617448188905
ant-ivy,999,mid,0.1,uniform,332,359,260,0.08110152018923447,0.5151319351982155,-0.0676003860019185,0.373067318337785,4.402967819573922,14.365804749898958,5.203603121425417,0.055900621118012424,0.040654997176736304,0.3999998282456232
ant-ivy,999,mid,0.1,real,332,359,260,0.1274916517547601,0.5564117902381935,-0.07766999845336768,0.39286701855885886,3.8709616461565632,15.969373689330522,4.845608300773118,0.055900621118012424,0.040654997176736304,0.8461834304836707
ant-ivy,999,mid,0.15,uniform,332,367,220,0.12241010134869494,0.5467158555529675,0.017120948891066842,0.5196440007935885,4.811559190213286,15.555105907545114,4.911078506794906,0.08300395256916997,0.06324110671936758,0.15999982820608102
ant-ivy,999,mid,0.15,real,332,367,220,0.1070708913934425,0.5504375577065723,-0.05100938043119934,0.42672171246250823,3.7128089239048103,14.602029564074941,4.5581686907351155,0.08300395256916997,0.06324110671936758,0.10623986943299446
ant-ivy,999,mid,0.2,uniform,332,384,182,0.08565152571740618,0.528807003328998,-0.000594702353895816,0.49326900142532665,4.36378863952325,13.71388088965601,5.292434564612567,0.11405985319028797,0.08469791078486731,0.1599746623776298
ant-ivy,999,mid,0.2,real,332,384,182,0.11591970559839612,0.5540480535900232,-0.09599953024869952,0.3457762444488256,3.7319879229738793,14.527694303260374,4.901186693441109,0.11405985319028797,0.08469791078486731,0.008773124828147783
ant-ivy,999,mid,0.25,uniform,332,402,148,0.05377722253761547,0.5188507362450399,0.09908835494189906,0.6207961471647079,4.413696399870383,13.573257243513728,5.644467884276993,0.14342179559570864,0.1038961038961039,0.038400815999892014
ant-ivy,999,mid,0.25,real,332,402,148,0.030149119009411716,0.5077697658905308,0.02582282532862057,0.532108904238604,3.8084920507169744,14.413429656663478,5.051283529350942,0.14342179559570864,0.1038961038961039,0.0061441717874840315
ant-ivy,999,mid,0.3,uniform,332,405,105,-0.0057928014086773266,0.4680665222338508,0.06694206366113753,0.569152789250685,4.720755756400253,14.536826802617679,5.4250440387057335,0.16939582156973462,0.1281761716544325,0.936000171754797
ant-ivy,999,mid,0.3,real,332,405,105,0.01752027179404028,0.5006335587922028,0.07049597275896204,0.5855230768993144,3.1116849251987913,12.344704689671282,4.9901998218302985,0.16939582156973462,0.1281761716544325,0.0026148961635386434
ant-ivy,999,fn_heavy,0.05,uniform,332,290,266,0.16215393266924594,0.5752082233616357,0.013511124867761052,0.5168300291378144,4.230127141879659,17.612221325912678,5.305991871862663,0.01355166572557877,0.037267080745341616,0.759999828201696
ant-ivy,999,fn_heavy,0.05,real,332,290,266,0.1556569309872554,0.5814179517451054,-0.01456759465711016,0.478250680390322,3.271400322508909,16.480427250551433,4.545188760931567,0.01355166572557877,0.037267080745341616,0.05784550417367051
ant-ivy,999,fn_heavy,0.1,uniform,332,253,203,0.1521944228002805,0.5538261855111992,0.05165215903473957,0.5514051955765753,4.820678568089813,22.805938546576588,4.95239355023324,0.028232636928289104,0.07284020327498589,0.8488359969432405
ant-ivy,999,fn_heavy,0.1,real,332,253,203,0.10960043208790378,0.5474677310522286,-0.1172079228156835,0.2950894891798728,3.574900583713176,20.813653141319275,5.100816849929385,0.028232636928289104,0.07284020327498589,0.14355289095599563
ant-ivy,999,fn_heavy,0.15,uniform,332,215,146,0.12887436460111806,0.5388895941743154,-0.07584610838580402,0.377393462756185,4.097262195962312,22.476319243261738,5.280769622901511,0.03896103896103896,0.10502540937323546,0.3999746624212386
ant-ivy,999,fn_heavy,0.15,real,332,215,146,0.12748190700317016,0.5627536952838386,-0.06116312210556516,0.38518573481219254,3.4437939509091717,24.133215708965782,5.476506137542074,0.03896103896103896,0.10502540937323546,0.13787208721372177
ant-ivy,999,fn_heavy,0.2,uniform,332,161,64,0.02876836659770002,0.46523171125005963,-0.07638013457075794,0.3777247045971707,4.010597665822904,32.02670775761163,5.825420675535666,0.054771315640880856,0.1513269339356296,0.3999998282456232
