cfg_wo_ru,condition,observed,suppress,observed_minus_suppress
quantile/q=0.2|eps=0.1|minpos=30.0,MASZZ,0.09455843578951344,0.09469378278226914,-0.0001353469927557055
quantile/q=0.2|eps=0.1|minpos=30.0,oracle,0.10534480646779074,0.10423160201213984,0.0011132044556508985
quantile/q=0.2|eps=0.1|minpos=50.0,BSZZ,0.09448001480979427,0.09485632416460171,-0.00037630935480743866
quantile/q=0.2|eps=0.1|minpos=50.0,LSZZ,0.11149723026237159,0.11109058496271115,0.0004066452996604325
quantile/q=0.2|eps=0.1|minpos=50.0,MASZZ,0.09406919255474963,0.094456702913053,-0.0003875103583033668
quantile/q=0.2|eps=0.1|minpos=50.0,oracle,0.10416646924910963,0.10446863533617999,-0.0003021660870703574
quantile/q=0.3|eps=0.0|minpos=20.0,BSZZ,0.10451492422155724,0.10398757880651716,0.0005273454150400841
quantile/q=0.3|eps=0.0|minpos=20.0,LSZZ,0.11789887946477068,0.12043120419649361,-0.0025323247317229347
quantile/q=0.3|eps=0.0|minpos=20.0,MASZZ,0.10235056492700403,0.10922076712695622,-0.006870202199952186
quantile/q=0.3|eps=0.0|minpos=20.0,oracle,0.10781119645993156,0.10844062473751961,-0.0006294282775880511
quantile/q=0.3|eps=0.0|minpos=30.0,BSZZ,0.11843707785119137,0.1131819081706301,0.005255169680561264
quantile/q=0.3|eps=0.0|minpos=30.0,LSZZ,0.11647581301322434,0.11575500795911446,0.0007208050541098743
quantile/q=0.3|eps=0.0|minpos=30.0,MASZZ,0.09544146152443476,0.1003392905937143,-0.004897829069279533
quantile/q=0.3|eps=0.0|minpos=30.0,oracle,0.1029776950951317,0.10507083344232758,-0.0020931383471958775
quantile/q=0.3|eps=0.0|minpos=50.0,BSZZ,0.09773452907346519,0.09653851403882703,0.001196015034638162
quantile/q=0.3|eps=0.0|minpos=50.0,LSZZ,0.11258270586220158,0.11397421236415259,-0.0013915065019510092
quantile/q=0.3|eps=0.0|minpos=50.0,MASZZ,0.10118857314683748,0.10384497259327045,-0.0026563994464329777
quantile/q=0.3|eps=0.0|minpos=50.0,oracle,0.10081905495526433,0.09457758110153527,0.006241473853729057
quantile/q=0.3|eps=0.1|minpos=20.0,BSZZ,0.10321334872073275,0.10197883638635083,0.001234512334381918
quantile/q=0.3|eps=0.1|minpos=20.0,LSZZ,0.12031875923004691,0.1193161895974164,0.0010025696326305122
quantile/q=0.3|eps=0.1|minpos=20.0,MASZZ,0.10351616907362327,0.10560694043961374,-0.002090771365990479
quantile/q=0.3|eps=0.1|minpos=20.0,oracle,0.10702731421081672,0.10574923815652236,0.0012780760542943637
quantile/q=0.3|eps=0.1|minpos=30.0,BSZZ,0.11910878220149411,0.1114652528960407,0.007643529305453409
quantile/q=0.3|eps=0.1|minpos=30.0,LSZZ,0.11379876713609421,0.11744271622297736,-0.003643949086883147
quantile/q=0.3|eps=0.1|minpos=30.0,MASZZ,0.09980951393962764,0.0989960513137476,0.0008134626258800431
quantile/q=0.3|eps=0.1|minpos=30.0,oracle,0.10372784761484703,0.10326376432735773,0.0004640832874893003
quantile/q=0.3|eps=0.1|minpos=50.0,BSZZ,0.09521582218508606,0.09720290658990885,-0.0019870844048227865
quantile/q=0.3|eps=0.1|minpos=50.0,LSZZ,0.11350704399613992,0.11251514617988306,0.0009918978162568592
quantile/q=0.3|eps=0.1|minpos=50.0,MASZZ,0.10110680137406644,0.09996960126655212,0.0011372001075143218
quantile/q=0.3|eps=0.1|minpos=50.0,oracle,0.09987081901223625,0.09658843861338934,0.0032823803988469152
