config,rule,eps,min_pos,rate_update,filter_rate_BSZZ,filter_rate_LSZZ,filter_rate_MASZZ,filter_rate_oracle,gain_BSZZ,gain_LSZZ,gain_MASZZ,gain_oracle,nd_pass
fixed/tau=0.35|eps=0.1|minpos=50|observed,fixed/tau=0.35,0.1,50.0,observed,0.5577372881355932,0.8264309764309765,0.7634456818217416,0.7715955068896245,-0.006644513426418655,-0.058186989030084006,-0.01311059251133359,-0.09631497757457125,False
fixed/tau=0.35|eps=0.1|minpos=50|suppress,fixed/tau=0.35,0.1,50.0,suppress,0.4815047080979284,0.8077651515151516,0.6878212687182218,0.7439811278046572,0.00847696353326828,-0.055215006851803645,-0.002756902628102853,-0.0947180158713926,False
quantile/q=0.05|eps=0.0|minpos=20|observed,quantile/q=0.05,0.0,20.0,observed,0.1237424670433145,0.08112373737373738,0.1482928071757441,0.07672947967065614,0.002750791322349899,0.012900686299354674,0.005192342445686185,0.008823057551010163,True
quantile/q=0.05|eps=0.0|minpos=20|suppress,quantile/q=0.05,0.0,20.0,suppress,0.1229967043314501,0.06759259259259259,0.14849694832476718,0.0736871516283281,0.0040072779913463,0.013083511831298453,0.00508054703675663,0.00963408646954296,True
quantile/q=0.05|eps=0.0|minpos=30|observed,quantile/q=0.05,0.0,30.0,observed,0.09067278719397363,0.046780303030303026,0.08668439569520989,0.06157796451914099,0.0207799538307087,0.015305042951229128,0.002108335990796073,0.006148416325359007,True
quantile/q=0.05|eps=0.0|minpos=30|suppress,quantile/q=0.05,0.0,30.0,suppress,0.08741854990583804,0.050715488215488214,0.08495616969447446,0.058535636476812945,0.018429280981824656,0.01685005955687853,0.003769702719901097,0.0070484093034589995,True
quantile/q=0.05|eps=0.0|minpos=50|observed,quantile/q=0.05,0.0,50.0,observed,0.08095338983050847,0.029292929292929294,0.0453928766150608,0.046957671957671955,0.00815304383498848,0.009702038952075262,0.003761358845076751,0.007038520500811593,True
quantile/q=0.05|eps=0.0|minpos=50|suppress,quantile/q=0.05,0.0,50.0,suppress,0.08395715630885123,0.023148148148148147,0.04471451938072958,0.04537037037037037,0.009553565444064036,0.009572279784454879,0.005270430550317826,0.0047360728328213475,True
quantile/q=0.05|eps=0.1|minpos=20|observed,quantile/q=0.05,0.1,20.0,observed,0.13234416195856874,0.07664141414141415,0.14610684853651607,0.07725858019975668,0.005498416284577853,0.012832720266564679,0.006770629474932718,0.011460595797815804,True
quantile/q=0.05|eps=0.1|minpos=20|suppress,quantile/q=0.05,0.1,20.0,suppress,0.11373540489642185,0.07411616161616162,0.1430490572736379,0.07302577596695244,0.001766100691138181,0.015121255618003995,0.005948654040812948,0.008799915460035043,True
