project,seed,model,train_label,eval_mode,regime,mcc,gmean
ant-ivy,21,LApredict,RASZZ,oracle,chronological,0.2189060650982903,0.6577901925844066
ant-ivy,21,JITLine,RASZZ,oracle,naive_kfold,0.20590295362638752,0.6295011315372645
ant-ivy,21,JITLine,RASZZ,oracle,chronological,0.05610481889744988,0.5398618130615209
ant-ivy,21,ORB,RASZZ,oracle,prequential_latency,-0.0616580675714717,0.410165544507558
ant-ivy,21,LApredict,RASZZ,self,naive_kfold,0.41114990644782023,0.7064563970441576
ant-ivy,21,LApredict,RASZZ,self,chronological,0.4085049496239898,0.7162344012448035
ant-ivy,21,JITLine,RASZZ,self,naive_kfold,0.5130122772214253,0.7572509343539959
ant-ivy,21,JITLine,RASZZ,self,chronological,0.36191449049720237,0.6909445148861946
ant-ivy,21,ORB,RASZZ,self,prequential_latency,0.10020148095021231,0.5642428792861467
ant-ivy,101,LApredict,oracle,oracle,naive_kfold,0.31133675869999583,0.6941558595227093
ant-ivy,101,LApredict,oracle,oracle,chronological,0.22912833207527694,0.6621975463567292
ant-ivy,101,JITLine,oracle,oracle,naive_kfold,0.3578513880776721,0.7222255319021333
ant-ivy,101,JITLine,oracle,oracle,chronological,0.1874351266647305,0.6377583800275279
ant-ivy,101,ORB,oracle,oracle,prequential_latency,0.06036548408726164,0.5590360973564907
ant-ivy,101,LApredict,oracle,self,naive_kfold,0.31133675869999583,0.6941558595227093
ant-ivy,101,LApredict,oracle,self,chronological,0.22912833207527694,0.6621975463567292
ant-ivy,101,JITLine,oracle,self,naive_kfold,0.3578513880776721,0.7222255319021333
ant-ivy,101,JITLine,oracle,self,chronological,0.1874351266647305,0.6377583800275279
ant-ivy,101,ORB,oracle,self,prequential_latency,0.06036548408726164,0.5590360973564907
ant-ivy,101,LApredict,BSZZ,oracle,naive_kfold,0.30744380686088973,0.6900594205585766
ant-ivy,101,LApredict,BSZZ,oracle,chronological,0.22944468158695336,0.6671891416879415
ant-ivy,101,JITLine,BSZZ,oracle,naive_kfold,0.32315719497608836,0.7020057764364342
ant-ivy,101,JITLine,BSZZ,oracle,chronological,0.18402456137313733,0.5990629898231392
ant-ivy,101,ORB,BSZZ,oracle,prequential_latency,-0.011072141317866243,0.48557589796631817
ant-ivy,101,LApredict,BSZZ,self,naive_kfold,0.45363685407435494,0.7297282705431382
ant-ivy,101,LApredict,BSZZ,self,chronological,0.449330478547855,0.7301549330735867
ant-ivy,101,JITLine,BSZZ,self,naive_kfold,0.4908742999672665,0.7406098001335767
ant-ivy,101,JITLine,BSZZ,self,chronological,0.37900547815392205,0.6732290918193765
