project,train_label,seed,fading,warmup,mcc_avg,gmean_avg,mcc_terminal
ant-ivy,AGSZZ,7,0.95,0.1,0.1472698762113607,0.5568912752507714,-0.06056182731420938
ant-ivy,AGSZZ,7,0.95,0.25,0.16345903078172158,0.5712337360474662,-0.06056182731420938
ant-ivy,AGSZZ,7,0.99,0.0,0.12379190207545823,0.5681063902852005,-0.028106904169550813
ant-ivy,AGSZZ,7,0.99,0.05,0.13542704278468973,0.5799572841150807,-0.028106904169550813
ant-ivy,AGSZZ,7,0.99,0.1,0.1516022950389322,0.5898127128267905,-0.028106904169550813
ant-ivy,AGSZZ,7,0.99,0.25,0.1759154238505598,0.607525667363066,-0.028106904169550813
ant-ivy,AGSZZ,7,0.995,0.0,0.11848007742845894,0.5662230224044211,0.04385418948358218
ant-ivy,AGSZZ,7,0.995,0.05,0.12987716137921007,0.5779448421487016,0.04385418948358218
ant-ivy,AGSZZ,7,0.995,0.1,0.14553563420866625,0.5877077849703769,0.04385418948358218
ant-ivy,AGSZZ,7,0.995,0.25,0.17331311342360978,0.6075223929184881,0.04385418948358218
